date,MU,HYNIX_USD,USDKRW,rMU,rHY,z,pos_leadlag_ls,pos_leadlag_lf,pos_meanrev,ret_leadlag_ls,ret_leadlag_lf,ret_meanrev,ret_buyhold,eq_leadlag_ls,eq_leadlag_lf,eq_meanrev,eq_buyhold
2024-04-17,115.51970672607422,126.84613943630357,1387.3399658203125,-0.045702971655654956,-0.0019981568156026697,-1.1734184153993361,0.0,0.0,1.0,-0.0,-0.0,0.04809300423916318,-0.0019981568156026697,1.2590694168636463,1.1437254394461969,1.0731099416472394,1.4568028685243102
2024-04-18,111.15034484863281,130.13316117450265,1379.5400390625,-0.03855739345551612,0.025583391431065472,-0.45681573611223425,-1.0,0.0,0.0,-0.026083391431065472,0.0,0.06784288869054525,0.025583391431065472,1.2262286164247085,1.1437254394461969,1.1459128199711306,1.4940728265476666
2024-04-19,106.02628326416016,123.7211469511847,1379.4000244140625,-0.04719672425870236,-0.0505280246144153,-0.43712226082396166,-1.0,0.0,0.0,0.0505280246144153,-0.0,-0.001,-0.0505280246144153,1.2881875261383167,1.1437254394461969,1.1447669071511595,1.418580277992137
2024-04-22,108.35992431640625,122.99523057492802,1373.9300537109375,0.02177130007229433,-0.0058846395066805,-0.7320168498726489,-1.0,0.0,0.0,0.0058846395066805,-0.0,-0.0,-0.0058846395066805,1.2957680453466431,1.1437254394461969,1.1447669071511595,1.4102324444448666
2024-04-23,111.6766586303711,122.12876026175833,1378.8399658203125,0.030149400655028913,-0.007069678647803279,-1.119223512734921,0.0,0.0,0.0,-0.0005,-0.0,-0.0,-0.007069678647803279,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4002625542439353
2024-04-24,111.00138854980469,129.19707148107256,1370.47998046875,-0.006065008734024602,0.05626302437722597,-0.4624869669790208,0.0,0.0,0.0,0.0,0.0,0.0,0.05626302437722597,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4790455604678785
2024-04-25,110.80278778076172,122.0085272006424,1376.969970703125,-0.001790776218938639,-0.057247987158503655,-1.0046351367029474,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.057247987158503655,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.3943731792153715
2024-04-26,114.04009246826172,127.64632161385912,1371.699951171875,0.028798140411886664,0.04517238970837223,-0.8531091453382513,0.0,0.0,0.0,0.0,0.0,0.0,0.04517238970837223,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4573603478657902
2024-04-29,113.56341552734375,125.7879872044631,1377.0899658203125,-0.004188666879998415,-0.014665478600035087,-0.9391036368937635,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.014665478600035087,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4359874608716248
2024-04-30,112.17317199707031,124.79433118631644,1374.6400146484375,-0.012317552267716358,-0.007930816769182947,-0.8740038210202493,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.007930816769182947,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4245989074366077
2024-05-02,111.54756164550781,124.33192045454545,1375.0,-0.00559279394537171,-0.0037122644423206452,-0.8308131580574716,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0037122644423206452,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.419310419567962
2024-05-03,113.90104675292969,124.98715186359297,1364.6400146484375,0.020878998723993014,0.005256179653519766,-0.9825362423565862,0.0,0.0,0.0,0.0,0.0,-0.0,0.005256179653519766,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4267705701173237
2024-05-07,118.37964630126953,130.80086814299605,1352.1700439453125,0.038566740917410414,0.04546512925164592,-0.9322252102072434,0.0,0.0,0.0,0.0,0.0,0.0,0.04546512925164592,1.2951201613239698,1.1437254394461969,1.1447669071511595,1.4916388785001524
2024-05-08,118.48887634277344,129.10473917610787,1357.72998046875,0.0009222842108975726,-0.013052069658684218,-1.044702287357725,1.0,1.0,0.0,-0.013552069658684218,-0.013552069658684218,-0.0,-0.013052069658684218,1.277568602681341,1.1282255926204128,1.1447669071511595,1.4721699039523668
2024-05-09,116.98938751220703,126.82570996607335,1361.93994140625,-0.012735859984019271,-0.017810225086352993,-1.062326715233509,0.0,0.0,0.0,-0.0005,-0.0005,-0.0,-0.017810225086352993,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.4459502265976205
