date,BNB,ETH,ETH_MA20,ETH_MA50,ETH_trend_signal,raw_signal,position,BNB_ret,strategy_ret_net,equity_strategy,equity_bnb_buyhold,equity_eth_buyhold
2023-07-31,241.175962510811,1856.18514465225,1890.3976117767397,1859.2623576914082,1,0,1,-0.005353292664345921,-0.005353292664345921,0.7974675049817976,1.2229908073635225,1.8696652491587278
2023-08-01,247.054660134447,1866.98985067212,1890.1675781414385,1861.7530960198712,1,0,1,0.0243751390579503,0.0243751390579503,0.8169058863099257,1.2528013783596033,1.8805484217942416
2023-08-02,240.534117473092,1838.2950862069,1881.9814199298664,1863.7805060432493,1,0,1,-0.026393117449419967,-0.026393117449419967,0.7953451933074253,1.2197360444397631,1.8516452684056999
2023-08-03,241.114309596719,1835.91625482174,1877.0203699152548,1867.4957412098186,1,0,1,0.002412099080671526,0.002412099080671526,0.7972636447170186,1.2226781686312183,1.8492491613216326
2023-08-04,241.316343276721,1826.2735829924,1871.7981598042086,1870.7443399473989,1,0,1,0.0008379165896039709,0.0008379165896039709,0.7979316851512152,1.223702670952461,1.8395364618744359
2023-08-05,242.916647158727,1835.38041437756,1867.3398681765054,1873.1195478141435,-1,-1,0,0.0066315603007911506,0.0066315603007911506,0.8032232172372074,1.2318177290051213,1.8487094294632764
2023-08-06,242.689535874631,1826.94227440093,1863.0726629018122,1875.1068638749266,-1,0,0,-0.0009349350353399233,-0.001,0.8024199940199701,1.2306660594531216,1.840210009495772
2023-08-07,241.656656717423,1825.86593308007,1859.4960060198714,1877.2218017708938,-1,0,0,-0.004255969065520615,-0.0,0.8024199940199701,1.225428382774103,1.8391258515012727
2023-08-08,245.096521619063,1856.70175043834,1857.855285958504,1879.6561670894212,-1,0,0,0.014234513331293552,0.0,0.8024199940199701,1.2428717594252465,1.8701856066718512
2023-08-09,243.913671180272,1855.32526271186,1856.0227078755117,1880.966685201636,-1,0,0,-0.004826059672235705,-0.0,0.8024199940199701,1.2368735861493236,1.8687991225296265
2023-08-10,241.18972176846,1850.89056019871,1853.961731268264,1880.0982712448854,-1,0,0,-0.01116767829630494,-0.0,0.8024199940199701,1.223060579846011,1.8643322140409548
2023-08-11,239.505151665328,1846.58541788428,1853.2267919199298,1879.5427637872583,-1,0,0,-0.006984419115293794,-0.0,0.8024199940199701,1.2145182121529723,1.8599958066512272
2023-08-12,240.205799455623,1848.60640794857,1851.2585206019874,1878.6833513617762,-1,0,0,0.002925397576725386,0.0,0.8024199940199701,1.2180711607876935,1.8620314736766768
2023-08-13,240.039426631084,1838.95695002922,1850.710155435418,1877.9403583518404,-1,0,0,-0.0006926261768701591,-0.0,0.8024199940199701,1.2172274928164413,1.8523119388571003
2023-08-14,240.274986246627,1843.84205055523,1850.024583328463,1876.8211808825245,-1,0,0,0.0009813371863491849,0.0,0.8024199940199701,1.2184220034193887,1.8572325162674097
2023-08-15,236.730293697,1827.12240327294,1847.8222955727647,1876.2122622443012,-1,0,0,-0.014752649058477507,-0.0,0.8024199940199701,1.2004470511978154,1.840391446511006
2023-08-16,231.75546267572,1806.94174839275,1845.217295645821,1874.5722163705432,-1,0,0,-0.02101476301823657,-0.0,0.8024199940199701,1.1752199409009523,1.820064234409637
2023-08-17,219.213989057698,1688.89880537697,1835.911472428404,1871.7568207481,-1,0,0,-0.054115115446363604,-0.0,0.8024199940199701,1.1116227781242287,1.7011640325085082
2023-08-18,216.008266115511,1660.65438603156,1824.8940534628866,1867.906399731151,-1,0,0,-0.01462371519247907,-0.0,0.8024199940199701,1.0953667232154676,1.6727144947644312
2023-08-19,216.929814560525,1668.86229748685,1815.2618290765622,1862.5912953711274,-1,0,0,0.004266264720264035,0.0,0.8024199940199701,1.1000398476224729,1.6809820142305467
2023-08-20,216.476501442103,1683.56179661017,1806.6306616744582,1857.7998295382813,-1,0,0,-0.002089676420644837,-0.0,0.8024199940199701,1.0977411202911265,1.6957882649809586
2023-08-21,210.750527451068,1667.28708883694,1796.6455235826998,1852.433620561075,-1,0,0,-0.026450787743197313,-0.0,0.8024199940199701,1.0687050029213263,1.6793953660013032
2023-08-22,210.699223177074,1631.88740853302,1786.3251396990054,1845.9872922735237,-1,0,0,-0.00024343604077525782,-0.0,0.8024199940199701,1.0684448416066585,1.6437386039125368
2023-08-23,216.412900668565,1678.89443424898,1778.4740486703674,1840.7975683401517,-1,0,0,0.02711769604717129,0.0,0.8024199940199701,1.097418604064516,1.6910870070072646
2023-08-24,218.167931692662,1656.64010169491,1769.992374605493,1835.6874533313849,-1,0,0,0.00810964142468018,0.0,0.8024199940199701,1.1063182754362522,1.6686710576395838
2023-08-25,218.156177652381,1652.96844623027,1760.8717761981286,1831.6593127293975,-1,0,0,-5.387611364238154e-05,-0.0,0.8024199940199701,1.10625867130712,1.6649727376476915
2023-08-26,216.249369304197,1645.92842226768,1751.8210835914658,1827.191329929865,-1,0,0,-0.00874056544583568,-0.0,0.8024199940199701,1.096589344990537,1.6578815871802821
2023-08-27,218.21874053761,1656.75394593805,1743.365484234365,1823.0452772822907,-1,0,0,0.009106945558961188,0.0,0.8024199940199701,1.1065759244559028,1.668785728649547
2023-08-28,218.676692032746,1652.81391934541,1733.1710926797186,1818.8488996668611,-1,0,0,0.0020985892137759254,0.0,0.8024199940199701,1.10889817275519,1.6648170885479692
2023-08-29,226.642171498863,1726.95467679719,1726.7525633839846,1815.7812177673873,-1,0,0,0.03642582751765899,0.0,0.8024199940199701,1.149290706330618,1.7394962756717667
2023-08-30,223.743102910073,1705.04314114553,1719.460192431326,1812.314741081239,-1,0,0,-0.012791390806121683,-0.0,0.8024199940199701,1.1345896797560993,1.7174256126877214
2023-08-31,216.429942398292,1645.67690531853,1709.4147668030387,1807.7964687200467,-1,0,0,-0.032685523784481973,-0.0,0.8024199940199701,1.0975050217928035,1.6576282436489242
2023-09-01,213.470609659177,1628.75344476914,1698.422118644067,1800.3311726066627,-1,0,0,-0.013673397988846703,-0.0,0.8024199940199701,1.0824983988350727,1.640581880479893
2023-09-02,214.313826752612,1636.88336528346,1688.318439406779,1794.3660948100526,-1,0,0,0.0039500383438322295,0.0,0.8024199940199701,1.0867743090176083,1.6487708426143222
2023-09-03,214.292622549028,1635.56472647575,1677.904573202805,1788.463033635301,-1,0,0,-9.893996997423216e-05,-0.0,0.8024199940199701,1.0866667836001054,1.6474426275049239
2023-09-04,215.002804286796,1627.41772355348,1667.919339216832,1782.520463167738,-1,0,0,0.0033140746019173495,0.0,0.8024199940199701,1.0902680783883818,1.6392364589056077
2023-09-05,214.459880970599,1632.72254324956,1659.2083789596727,1776.9291864348334,-1,0,0,-0.00252519178993027,-0.0,0.8024199940199701,1.0875149423880124,1.644579803596943
2023-09-06,215.060688479225,1632.395921391,1656.383234760374,1771.6291234482758,-1,0,0,0.002801491383408905,0.0,0.8024199940199701,1.0905616061284409,1.6442508097245783
2023-09-07,216.730706425632,1646.08132933957,1655.6545819257747,1766.7604270017532,-1,0,0,0.0077653333959653015,0.0,0.8024199940199701,1.0990301805888676,1.6580356047035272
2023-09-08,214.523426019449,1636.38499357101,1654.0307167299823,1761.6485903857392,-1,0,0,-0.010184437833410609,-0.0,0.8024199940199701,1.0878371760376182,1.6482688515954758
2023-09-09,214.192766124306,1634.67623524255,1651.5864386616013,1756.499913243717,-1,0,0,-0.0015413696363073548,-0.0,0.8024199940199701,1.0861604168452275,1.6465476838148068
2023-09-10,212.3156426523,1617.41718790181,1649.092943614845,1751.6225729047337,-1,0,0,-0.008763710866484642,-0.0,0.8024199940199701,1.0766416209973755,1.6291632967349217
2023-09-11,205.850516054639,1549.35964874342,1644.9665556253651,1744.850329193454,-1,0,0,-0.030450542959986504,-0.0,0.8024199940199701,1.0438572990646855,1.560611505835022
2023-09-12,211.295018173544,1594.0094345412,1640.7223056399762,1739.7320328170658,-1,0,0,0.026448814524515862,0.0,0.8024199940199701,1.0714660871577095,1.6055855501155727
2023-09-13,212.574799172487,1607.7192194623,1638.2762615283457,1734.7353473524252,-1,0,0,0.006056844169850972,0.0,0.8024199940199701,1.0779557902809038,1.6193948990990348
2023-09-14,212.408690205812,1627.52328755114,1637.004003594389,1729.86244993571,-1,0,0,-0.0007814142001856261,-0.0,0.8024199940199701,1.077113460319206,1.6393427895367714
2023-09-15,214.347413372189,1643.92288106371,1636.9037265341906,1725.5600726183516,-1,0,0,0.009127325084950622,0.0,0.8024199940199701,1.0869446250249155,1.6558614812088381
2023-09-16,214.881352870038,1634.72032933957,1635.8020457042664,1720.7541738106368,-1,0,0,0.0024910004251923468,0.0,0.8024199940199701,1.089652204548013,1.6465920981347517
2023-09-17,216.326058497632,1620.58054354179,1634.1903769140856,1715.5457293746347,-1,0,0,0.006723271276441345,0.0,0.8024199940199701,1.0969782319161616,1.6323496254951968
2023-09-18,215.97497816444,1637.64761016949,1629.7250235827005,1711.0685458737578,-1,0,0,-0.0016229220632514307,-0.0,0.8024199940199701,1.0951979217406784,1.6495406376476327
2023-09-19,217.174362163839,1643.48128784337,1626.6469309175925,1706.8144687375802,-1,0,0,0.005553347010808896,0.0,0.8024199940199701,1.1012799358456211,1.6554166810224384
2023-09-20,214.139681206951,1622.66867942724,1625.496519623028,1701.9280453126826,-1,0,0,-0.013973477010138957,-0.0,0.8024199940199701,1.085891225980355,1.6344529259724125
2023-09-21,210.737670081908,1584.68828667446,1623.293261718294,1696.8559093220338,-1,0,0,-0.01588687862925886,-0.0,0.8024199940199701,1.068639803868628,1.59619670962252
2023-09-22,211.102975533496,1593.62554763296,1621.1303708357689,1692.0100951782579,-1,0,0,0.0017334606169177036,0.0,0.8024199940199701,1.070492248882305,1.6051988753196822
