date,regime,n_holdings,turnover,nav,holdings
2024-02-02,RISK_ON,10,0.3,107928246.0,"028300(028300),042700(042700),399720(399720),403870(403870),086520(086520),196170(196170),073240(073240),138040(138040),000270(기아),036930(036930)"
2024-02-16,RISK_ON,10,0.4,119128796.0,"399720(399720),042700(042700),403870(403870),028300(028300),196170(196170),073240(073240),086520(086520),138040(138040),005070(005070),079550(079550)"
2024-02-23,RISK_ON,10,0.4,129240666.0,"399720(399720),196170(196170),028300(028300),042700(042700),403870(403870),087010(087010),138040(138040),079550(079550),036930(036930),005070(005070)"
2024-03-08,RISK_ON,10,0.7,142433076.0,"196170(196170),042700(042700),028300(028300),399720(399720),403870(403870),079550(079550),141080(141080),036930(036930),012450(한화에어로스페이스),039030(039030)"
2024-03-15,RISK_ON,10,0.4,135745202.0,"196170(196170),042700(042700),028300(028300),399720(399720),403870(403870),079550(079550),036930(036930),141080(141080),138040(138040),012450(한화에어로스페이스)"
2024-03-22,RISK_ON,10,0.0,140431413.0,"196170(196170),028300(028300),042700(042700),399720(399720),403870(403870),079550(079550),036930(036930),012450(한화에어로스페이스),141080(141080),138040(138040)"
2024-03-29,RISK_ON,10,0.3,148262689.0,"042700(042700),196170(196170),028300(028300),399720(399720),079550(079550),012450(한화에어로스페이스),039030(039030),036930(036930),141080(141080),403870(403870)"
2024-04-05,RISK_ON,10,0.5,144463657.0,"042700(042700),196170(196170),399720(399720),028300(028300),039030(039030),012450(한화에어로스페이스),079550(079550),138040(138040),000660(SK하이닉스),036930(036930)"
2024-04-12,RISK_ON,10,0.5,149505838.0,"042700(042700),196170(196170),399720(399720),028300(028300),039030(039030),012450(한화에어로스페이스),079550(079550),000660(SK하이닉스),058470(058470),087010(087010)"
2024-04-19,RISK_ON,10,0.6,142158321.0,"042700(042700),028300(028300),196170(196170),399720(399720),012450(한화에어로스페이스),039030(039030),079550(079550),058470(058470),161390(161390),087010(087010)"
2024-04-26,RISK_ON,10,0.4,142370201.0,"042700(042700),028300(028300),196170(196170),399720(399720),012450(한화에어로스페이스),079550(079550),039030(039030),087010(087010),138040(138040),058470(058470)"
2024-05-03,RISK_ON,10,0.3,140570784.0,"042700(042700),196170(196170),028300(028300),399720(399720),087010(087010),012450(한화에어로스페이스),079550(079550),039030(039030),058470(058470),073240(073240)"
2024-05-10,RISK_ON,10,0.3,140205339.0,"042700(042700),196170(196170),028300(028300),087010(087010),399720(399720),058470(058470),012450(한화에어로스페이스),079550(079550),039030(039030),214150(214150)"
2024-05-17,RISK_ON,10,0.3,138042590.0,"042700(042700),196170(196170),087010(087010),399720(399720),012450(한화에어로스페이스),058470(058470),028300(028300),214150(214150),039030(039030),079550(079550)"
2024-05-24,RISK_ON,10,0.3,134192807.0,"042700(042700),196170(196170),087010(087010),399720(399720),000660(SK하이닉스),012450(한화에어로스페이스),079550(079550),058470(058470),039030(039030),214150(214150)"
2024-05-31,RISK_ON,10,0.2,136812459.0,"042700(042700),196170(196170),087010(087010),399720(399720),058470(058470),079550(079550),012450(한화에어로스페이스),214150(214150),000660(SK하이닉스),105560(KB금융)"
2024-06-07,RISK_ON,10,0.1,144287543.0,"196170(196170),042700(042700),087010(087010),399720(399720),079550(079550),000660(SK하이닉스),058470(058470),012450(한화에어로스페이스),105560(KB금융),214150(214150)"
2024-06-14,RISK_ON,10,0.2,148938398.0,"042700(042700),196170(196170),087010(087010),000660(SK하이닉스),399720(399720),079550(079550),012450(한화에어로스페이스),214150(214150),381180(381180),105560(KB금융)"
2024-06-21,RISK_ON,10,0.3,154533527.0,"042700(042700),196170(196170),087010(087010),000660(SK하이닉스),079550(079550),012450(한화에어로스페이스),214150(214150),399720(399720),381180(381180),000810(000810)"
2024-06-28,RISK_ON,10,0.4,156852470.0,"196170(196170),042700(042700),087010(087010),079550(079550),000660(SK하이닉스),012450(한화에어로스페이스),000810(000810),005380(현대차),105560(KB금융),214150(214150)"
2024-07-05,RISK_ON,10,0.5,158546372.0,"196170(196170),087010(087010),042700(042700),028300(028300),000660(SK하이닉스),105560(KB금융),079550(079550),012450(한화에어로스페이스),086790(086790),000810(000810)"
2024-07-12,RISK_ON,10,0.2,158631183.0,"196170(196170),087010(087010),042700(042700),079550(079550),028300(028300),012450(한화에어로스페이스),000660(SK하이닉스),105560(KB금융),141080(141080),000810(000810)"
2024-07-19,RISK_ON,10,0.5,155510994.0,"196170(196170),087010(087010),042700(042700),079550(079550),028300(028300),012450(한화에어로스페이스),105560(KB금융),141080(141080),000660(SK하이닉스),000100(000100)"
2024-07-26,RISK_ON,10,0.6,152766797.0,"196170(196170),087010(087010),042700(042700),012450(한화에어로스페이스),079550(079550),105560(KB금융),141080(141080),028300(028300),009540(009540),055550(055550)"
2024-08-02,RISK_ON,10,0.4,148647906.0,"196170(196170),087010(087010),012450(한화에어로스페이스),079550(079550),042700(042700),141080(141080),009540(009540),329180(329180),105560(KB금융),028300(028300)"
