Date,AAPL,AMD,AMZN,ANET,AVGO,DELL,GOOGL,META,MRVL,MSFT,MU,NVDA,ORCL,PLTR,SMCI,TSLA,TSM,VRT
2025-09-08,237.20892333984375,151.41000366210938,235.83999633789062,140.00999450683594,343.67889404296875,121.65303039550781,233.72247314453125,750.537353515625,65.87593078613281,495.06463623046875,131.26953125,168.2820281982422,236.61282348632812,156.10000610351562,40.040000915527344,346.3999938964844,245.0586700439453,121.71127319335938
2025-09-09,233.6888885498047,155.82000732421875,238.24000549316406,141.91000366210938,334.7501220703125,119.96175384521484,239.30490112304688,763.9059448242188,66.71434783935547,495.2733154296875,135.04405212402344,170.7316131591797,239.61911010742188,162.36000061035156,42.91999816894531,346.9700012207031,248.75650024414062,125.4679183959961
2025-09-10,226.1501922607422,159.5399932861328,230.3300018310547,150.72000122070312,367.4624938964844,123.08714294433594,238.84552001953125,750.2180786132812,66.97386932373047,497.2209777832031,139.79714965820312,177.300537109375,325.75933837890625,166.74000549316406,43.90999984741211,347.7900085449219,258.1944274902344,136.6179656982422
2025-09-11,229.3810577392578,155.6699981689453,229.9499969482422,153.0399932861328,357.5791931152344,123.9970703125,240.0438995361328,749.140625,66.4648208618164,497.85699462890625,150.35183715820312,177.1505584716797,305.4495849609375,164.36000061035156,43.95000076293945,368.80999755859375,256.6776123046875,135.58889770507812
2025-09-12,233.40966796875,158.57000732421875,228.14999389648438,139.38999938964844,357.81781005859375,123.67069244384766,240.4733123779297,753.8197021484375,67.223388671875,506.6910095214844,157.00218200683594,177.80047607421875,289.89239501953125,171.42999267578125,45.0,395.94000244140625,257.0939636230469,134.71966552734375
2025-09-15,236.03224182128906,161.16000366210938,231.42999267578125,145.42999267578125,362.0137634277344,125.41141510009766,251.26864624023438,762.9082641601562,67.3032455444336,512.1166381835938,157.54141235351562,177.73048400878906,299.7744445800781,171.2100067138672,45.380001068115234,410.0400085449219,259.1263122558594,138.175537109375
2025-09-16,237.4781494140625,160.4600067138672,234.0500030517578,142.16000366210938,357.947021484375,126.28177642822266,250.8192596435547,777.1747436523438,68.73055267333984,505.83642578125,158.5898895263672,174.86080932617188,304.24908447265625,170.25999450683594,44.90999984741211,421.6199951171875,260.62005615234375,136.5665283203125
2025-09-17,238.3157958984375,159.16000366210938,231.6199951171875,142.83999633789062,344.1959533691406,128.9126434326172,249.19146728515625,773.9024658203125,70.84656524658203,506.81024169921875,159.75819396972656,170.27130126953125,299.0501403808594,168.3300018310547,44.900001525878906,425.8599853515625,261.3460693359375,136.7464141845703
2025-09-18,237.20892333984375,157.9199981689453,231.22999572753906,146.66000366210938,343.380615234375,130.66326904296875,251.68807983398438,778.421875,74.09046173095703,505.2501525878906,168.64529418945312,176.2206573486328,294.297607421875,176.97000122070312,45.939998626708984,416.8500061035156,267.1639099121094,141.873291015625
2025-09-19,244.80740356445312,157.38999938964844,231.47999572753906,149.61000061035156,342.9729309082031,130.4951171875,254.3744354248047,776.5562133789062,74.12040710449219,514.6704711914062,162.4942169189453,176.6505889892578,306.2433776855469,182.38999938964844,45.810001373291016,426.07000732421875,263.41461181640625,143.51229858398438
2025-09-22,255.35755920410156,159.7899932861328,227.6300048828125,145.39999389648438,337.4351806640625,134.2040557861328,252.18740844726562,763.8824462890625,75.38801574707031,511.21240234375,164.38148498535156,183.58984375,325.58074951171875,179.3300018310547,46.869998931884766,434.2099914550781,271.1319885253906,151.86717224121094
2025-09-23,253.7122344970703,160.89999389648438,220.7100067138672,144.08999633789062,337.5845642089844,132.86883544921875,251.31858825683594,754.1387329101562,74.47972869873047,506.0252685546875,166.16888427734375,178.410400390625,311.37286376953125,182.5500030517578,46.9900016784668,425.8500061035156,281.1566162109375,142.52288818359375
2025-09-24,251.59820556640625,160.8800048828125,220.2100067138672,142.63999938964844,337.95306396484375,130.64349365234375,246.80471801757812,759.3899536132812,79.93943786621094,506.9394226074219,161.4757080078125,176.9505615234375,306.044921875,179.55999755859375,46.20000076293945,442.7900085449219,279.1676025390625,141.53347778320312
2025-09-25,256.1453552246094,161.27000427246094,218.14999389648438,143.05999755859375,334.7559509277344,129.52586364746094,245.45652770996094,747.6595458984375,83.65245056152344,503.83905029296875,156.60276794433594,177.67050170898438,289.04901123046875,179.1199951171875,46.2400016784668,423.3900146484375,275.1398620605469,139.6846160888672
2025-09-26,254.73931884765625,159.4600067138672,219.77999877929688,142.5,333.19219970703125,129.3280487060547,246.2055206298828,742.5081787109375,83.0136489868164,508.2411804199219,157.04212951660156,178.17044067382812,281.2406311035156,177.57000732421875,45.81999969482422,440.3999938964844,271.85797119140625,138.53530883789062
2025-09-29,253.7122344970703,161.36000061035156,222.1699981689453,143.3699951171875,326.5887145996094,132.4336700439453,243.71890258789062,742.1587524414062,82.23512268066406,511.3613586425781,163.6625213623047,181.83004760742188,280.546142578125,178.86000061035156,46.36000061035156,443.2099914550781,271.7287292480469,143.2224578857422
2025-09-30,253.9116668701172,161.7899932861328,219.57000732421875,145.7100067138672,328.5906677246094,140.2174835205078,242.77020263671875,733.1538696289062,83.91195678710938,514.6903686523438,167.07757568359375,186.55950927734375,279.03802490234375,182.4199981689453,47.939998626708984,444.7200012207031,277.75543212890625,150.76783752441406
2025-10-01,254.72933959960938,164.00999450683594,220.6300048828125,149.27000427246094,332.0567932128906,148.0408477783203,244.5677490234375,716.1422729492188,83.7322998046875,516.4392700195312,181.8860626220703,187.21945190429688,286.7471923828125,184.9499969482422,52.38999938964844,459.4599914550781,286.88494873046875,161.4912872314453
2025-10-02,256.40460205078125,169.72999572753906,222.41000366210938,144.4600067138672,336.8276062011719,145.7561492919922,245.356689453125,725.8360595703125,86.03795623779297,512.4942626953125,183.4837646484375,188.8692626953125,286.5190124511719,187.0500030517578,52.5,436.0,286.52691650390625,161.541259765625
